"가격","제조사","종류","주행거리","변속기","연료형태","색상","사고여부","연식개월","차주변경"
690,"기아","중형차",162202,"오토","가솔린","검정색","N",112,2
1150,"현대","중형차",134616,"오토","디젤","청색","Y",77,3
870,"기아","중형차",68896,"오토","가솔린","검정색","Y",91,4
1100,"현대","중형차",186921,"오토","가솔린","청색","N",80,2
520,"현대","중형차",137027,"오토","가솔린","쥐색","Y",151,4
290,"현대","중형차",106171,"오토","가솔린","검정색","Y",170,1
1050,"기아","중형차",78436,"오토","디젤","청색","Y",56,3
980,"기아","중형차",24767,"오토","가솔린","흰색","N",130,4
730,"기아","중형차",137766,"오토","LPG","은색","N",82,2
1390,"기아","중형차",83540,"오토","LPG","흰색","N",76,2
500,"기아","중형차",209625,"오토","LPG","흰색","N",103,3
540,"기아","중형차",191455,"오토","LPG","흰색","N",90,3
770,"기아","중형차",104879,"오토","LPG","은색","N",88,2
580,"현대","중형차",122532,"오토","LPG","쥐색","N",149,4
1090,"현대","중형차",101535,"오토","디젤","흰색","Y",81,1
1050,"기아","중형차",98369,"오토","가솔린","흰색","Y",97,4
760,"현대","중형차",59428,"오토","가솔린","은색","N",151,1
2580,"기아","중형차",15700,"오토","가솔린","검정색","N",18,1
890,"기아","중형차",105691,"오토","LPG","흰색","N",123,4
1580,"기아","중형차",49758,"오토","가솔린","검정색","N",56,2
550,"기아","중형차",157476,"오토","가솔린","은색","N",145,4
1210,"현대","중형차",122044,"오토","가솔린","쥐색","N",55,3
1530,"현대","중형차",96200,"오토","가솔린","쥐색","N",55,0
790,"기아","중형차",81215,"오토","LPG","은색","N",127,1
1390,"현대","중형차",119755,"오토","가솔린","흰색","N",57,2
1510,"기아","중형차",120290,"오토","가솔린","쥐색","N",46,1
950,"현대","중형차",181800,"오토","LPG","흰색","N",96,3
690,"현대","중형차",161255,"오토","가솔린","은색","N",115,4
1510,"현대","중형차",67256,"오토","가솔린","쥐색","N",59,1
699,"기아","중형차",159589,"오토","LPG","흰색","N",122,10
1019,"현대","중형차",160790,"오토","LPG","검정색","N",58,1
820,"현대","중형차",129678,"오토","디젤","검정색","N",78,4
780,"기아","중형차",139335,"오토","가솔린","검정색","N",110,1
2050,"기아","중형차",24052,"오토","가솔린","흰색","N",45,1
750,"현대","중형차",60000,"오토","가솔린","흰색","Y",131,1
700,"현대","중형차",154647,"오토","가솔린","은색","Y",94,1
1290,"현대","중형차",141768,"오토","가솔린","검정색","N",56,1
650,"현대","중형차",135840,"오토","가솔린","검정색","N",136,2
1520,"현대","중형차",97000,"오토","LPG","검정색","N",57,1
620,"기아","중형차",122580,"오토","가솔린","연금색","N",136,6
2433,"기아","중형차",6166,"오토","가솔린","쥐색","Y",12,1
490,"기아","중형차",122933,"오토","가솔린","은색","Y",121,4
1289,"현대","중형차",159323,"오토","LPG","검정색","N",56,3
1630,"현대","중형차",65453,"오토","가솔린","하늘색","N",74,2
1499,"현대","중형차",63938,"오토","가솔린","흰색","N",69,1
1180,"기아","중형차",124898,"오토","LPG","흰색","N",60,1
1699,"기아","중형차",58184,"오토","가솔린","흰색","Y",50,1
1650,"현대","중형차",39515,"오토","디젤","쥐색","N",53,2
340,"현대","중형차",46060,"오토","가솔린","은하색","N",207,2
1699,"현대","중형차",105077,"오토","LPG","은색","Y",30,2
399,"현대","중형차",74057,"오토","가솔린","은색","N",169,1
1590,"기아","중형차",72446,"오토","디젤","흰색","N",44,1
1030,"현대","중형차",110896,"오토","디젤","명은색","N",72,6
990,"기아","중형차",137006,"오토","가솔린","흰색","N",109,9
1050,"현대","중형차",139026,"오토","LPG","흰색","N",63,2
609,"현대","중형차",120072,"오토","가솔린","흰색","N",151,1
450,"현대","중형차",223733,"오토","LPG","검정색","N",141,6
630,"현대","중형차",114842,"오토","가솔린","쥐색","N",149,3
499,"현대","중형차",189159,"오토","LPG","흰색","N",151,3
530,"현대","중형차",164986,"오토","LPG","검정색","Y",108,4
580,"현대","중형차",135994,"오토","가솔린","흰색","N",150,5
380,"현대","중형차",129237,"오토","가솔린","검정색","Y",167,3
