선수명,팀명,승,패,세,홀드,블론,경기,선발,이닝,삼진/9,볼넷/9,홈런/9,BABIP,LOB%,ERA,RA9-WAR,FIP,kFIP,WAR
김건태,NC,0,0,0,0,0,16,0,18.1,7.85,5.89,0.98,0.385,63.3,4.42,-0.05,4.98,5.08,-0.0
이상우,KT,0,0,0,0,0,2,0,3.1,2.7,5.4,0.0,0.273,80.0,2.7,0.07,4.54,4.92,-0.01
최영환,롯데,0,1,0,0,0,1,1,2.2,3.38,3.38,0.0,0.533,40.0,20.25,-0.31,4.84,5.57,-0.01
이병헌,두산,0,0,0,0,0,9,0,5.0,9.0,12.6,0.0,0.333,84.6,3.6,0.12,6.14,6.61,-0.01
이승재,KIA,0,0,0,0,0,1,0,1.0,9.0,0.0,0.0,0.0,100.0,0.0,0.06,4.34,5.3,-0.01
신재영,SSG,0,0,0,0,0,4,0,4.1,8.31,0.0,4.15,0.467,48.4,12.46,-0.14,7.5,7.23,-0.01
김주완,LG,0,0,0,0,0,1,0,1.0,0.0,9.0,0.0,0.333,100.0,0.0,0.05,6.34,7.09,-0.02
오석주,LG,0,0,0,0,0,4,0,3.2,4.91,0.0,2.45,0.25,115.4,2.45,0.11,5.8,5.78,-0.02
권휘,두산,0,0,0,1,0,10,0,9.1,4.82,4.82,0.96,0.25,63.5,5.79,-0.01,5.59,5.92,-0.02
한두솔,SSG,0,0,0,0,0,8,0,5.1,1.69,6.75,0.0,0.4,28.6,16.88,-0.31,5.22,5.73,-0.02
노성호,삼성,0,0,0,0,0,3,0,2.0,9.0,13.5,0.0,0.333,80.0,4.5,0.02,5.84,6.08,-0.02
박세웅,삼성,0,0,0,0,0,5,0,2.2,6.75,16.88,0.0,0.167,71.4,6.75,0.1,8.59,9.65,-0.03
이창재,KT,0,1,0,0,0,4,0,1.1,13.5,13.5,0.0,0.714,37.5,33.75,-0.22,7.09,7.97,-0.03
송윤준,한화,0,0,0,0,0,3,0,4.1,6.23,4.15,0.0,0.231,57.1,6.23,0.0,4.73,5.38,-0.03
임준섭,한화,0,0,0,0,0,5,0,3.2,0.0,2.45,0.0,0.312,85.7,2.45,0.07,4.98,5.79,-0.03
이충호,한화,1,0,0,0,0,5,0,4.2,7.71,9.64,1.93,0.375,69.0,9.64,-0.06,8.27,8.74,-0.03
하준수,NC,0,0,0,0,0,2,0,3.0,3.0,9.0,0.0,0.273,66.7,6.0,-0.02,5.67,6.19,-0.03
진명호,롯데,0,0,0,0,0,16,0,16.1,6.06,4.96,0.55,0.4,67.5,6.06,0.03,4.81,5.07,-0.03
이승민,삼성,0,0,0,0,0,2,0,5.1,3.38,8.44,0.0,0.125,85.7,1.69,0.17,5.4,5.86,-0.03
김주온,SSG,0,0,0,0,0,5,0,4.0,9.0,11.25,2.25,0.2,45.5,11.25,0.03,8.34,8.51,-0.03
이승관,한화,0,0,0,0,0,7,0,5.1,5.06,6.75,0.0,0.421,53.8,10.12,-0.12,5.03,5.52,-0.04
노운현,Hero,0,1,0,0,0,5,0,4.0,6.75,6.75,0.0,0.476,50.0,11.25,-0.41,4.84,5.29,-0.04
김영규,NC,2,7,1,13,5,72,0,66.0,6.27,3.0,0.68,0.28,75.6,3.41,1.54,4.07,4.18,-0.04
김진호,NC,4,0,1,0,0,36,0,42.2,7.38,4.22,1.48,0.354,68.5,6.12,0.63,5.31,5.31,-0.04
김영준,LG,0,0,0,0,0,2,2,9.2,6.52,3.72,0.93,0.259,95.6,1.86,0.52,5.41,5.83,-0.04
송후섭,KIA,0,0,0,0,0,1,0,0.1,0.0,27.0,0.0,0.8,0.0,162.0,-0.31,21.34,26.83,-0.04
임대한,삼성,2,1,0,1,0,12,0,13.2,5.27,5.93,0.66,0.268,53.4,5.27,-0.04,4.88,5.12,-0.05
이민우,한화,1,1,0,0,0,25,5,44.2,4.63,3.43,0.6,0.356,62.0,6.25,0.04,4.53,4.76,-0.05
전영준,SSG,0,0,0,0,0,4,1,5.0,12.6,5.4,3.6,0.417,85.4,7.2,-0.07,8.14,8.04,-0.05
이형범,두산,0,1,0,0,1,31,0,31.0,4.94,3.19,0.29,0.303,67.2,4.35,0.2,4.12,4.39,-0.05
이우석,NC,0,1,0,0,0,3,0,1.2,5.4,16.2,0.0,0.2,33.3,21.6,-0.06,11.14,13.36,-0.05
최지민,KIA,0,0,0,0,0,6,0,6.0,10.5,7.5,1.5,0.5,54.2,13.5,-0.13,6.17,6.27,-0.05
조원태,LG,0,0,0,0,0,2,0,4.0,0.0,4.5,0.0,0.091,100.0,0.0,0.14,5.59,6.46,-0.05
송정인,Hero,0,0,0,0,0,1,0,2.0,0.0,13.5,0.0,0.4,28.6,22.5,-0.2,7.84,8.79,-0.05
이승진,두산,3,1,0,2,1,35,0,31.1,8.33,3.45,1.44,0.323,56.1,6.61,-0.62,4.81,4.71,-0.06
조요한,SSG,2,1,0,4,2,23,0,19.1,6.98,6.05,0.93,0.278,60.9,6.52,0.42,5.62,5.95,-0.06
장필준,삼성,0,3,0,0,0,19,1,30.0,5.1,4.2,0.3,0.37,65.3,5.7,-0.6,4.14,4.38,-0.06
정구범,NC,0,0,0,0,0,2,0,1.1,13.5,6.75,6.75,0.0,0.0,13.5,-0.06,12.34,12.0,-0.06
최건,롯데,0,0,0,0,0,5,0,2.1,11.57,23.14,0.0,0.636,38.5,23.14,-0.28,8.48,8.96,-0.06
이명종,Hero,4,1,0,4,0,27,0,27.1,6.59,5.27,0.99,0.312,69.4,5.27,0.16,5.17,5.33,-0.06
하준호,KT,0,1,0,0,0,20,0,16.1,8.27,8.82,1.1,0.333,56.3,8.27,-0.18,6.22,6.4,-0.06
홍정우,삼성,5,2,0,1,1,26,0,26.2,6.75,4.39,1.01,0.222,79.1,3.04,0.31,4.32,4.28,-0.06
박웅,두산,0,0,0,0,0,8,0,6.0,4.5,10.5,0.0,0.304,78.6,3.0,-0.0,5.84,6.3,-0.07
나원탁(투),롯데,0,0,0,0,0,7,0,6.0,12.0,7.5,1.5,0.444,61.6,9.0,-0.24,6.34,6.54,-0.07
김도현,KIA,0,1,0,0,0,5,2,10.2,9.28,4.22,1.69,0.455,69.3,7.59,-0.06,5.4,5.35,-0.07
이승헌,롯데,0,1,0,0,0,1,1,0.2,13.5,40.5,0.0,0.75,33.3,54.0,-0.28,13.84,14.94,-0.08
박주혁,삼성,0,0,0,0,0,8,0,6.2,4.05,5.4,1.35,0.2,78.9,1.35,0.07,6.19,6.47,-0.08
이재익,삼성,3,2,0,7,1,42,0,33.1,5.67,2.43,1.08,0.333,57.3,5.94,-0.3,4.54,4.6,-0.09
김민기,롯데,0,0,0,0,0,1,0,0.2,0.0,13.5,13.5,0.833,35.7,67.5,-0.31,27.34,28.43,-0.09
이지강,LG,0,0,0,0,0,4,1,11.0,4.91,10.64,0.0,0.324,76.0,4.91,0.18,5.8,6.23,-0.09
심창민,NC,1,2,0,0,1,11,0,6.1,8.53,9.95,0.0,0.45,47.4,14.21,-0.1,6.18,6.93,-0.09
이재민,한화,0,0,0,0,0,2,0,2.0,0.0,22.5,0.0,0.333,11.1,36.0,-0.35,12.34,14.35,-0.09
정성곤,SSG,0,0,0,0,0,2,0,2.2,10.12,10.12,3.38,0.0,55.6,10.12,-0.1,10.47,11.0,-0.1
박정준,삼성,0,0,0,0,0,8,0,10.0,3.6,4.5,1.8,0.242,68.2,6.3,-0.09,6.94,7.36,-0.1
전유수,KT,0,0,0,0,0,8,0,11.0,1.64,4.09,0.82,0.348,58.3,8.18,-0.15,5.52,5.93,-0.1
송은범,LG,1,1,0,2,0,25,0,26.2,4.39,3.38,1.01,0.295,74.7,4.05,0.36,4.95,5.12,-0.11
양현,Hero,3,2,2,5,1,25,0,36.2,3.44,4.17,0.98,0.273,66.1,5.15,0.09,5.31,5.59,-0.11
홍상삼,KIA,2,1,0,1,0,24,0,21.2,7.89,6.23,1.25,0.267,61.7,5.82,0.22,5.6,5.68,-0.11
강동연,NC,0,0,0,0,0,6,0,8.2,3.12,3.12,2.08,0.4,58.1,10.38,-0.22,7.03,7.45,-0.11
김규연,한화,0,0,0,1,0,12,0,13.2,7.24,7.9,1.32,0.311,67.5,5.27,-0.09,6.27,6.41,-0.11
진승현,롯데,0,0,0,0,0,10,0,9.0,11.0,7.0,2.0,0.37,64.0,9.0,-0.18,6.45,6.42,-0.12
전사민,NC,0,0,0,0,0,7,0,8.1,2.16,6.48,1.08,0.16,72.9,3.24,0.1,6.58,7.06,-0.12
김서준,삼성,0,0,0,0,0,3,0,2.2,6.75,13.5,3.38,0.455,72.9,10.12,-0.15,12.34,13.29,-0.12
이승호,Hero,3,2,10,10,3,53,0,50.1,7.87,4.83,1.25,0.289,84.1,3.58,2.0,5.13,5.16,-0.13
김재영,한화,0,2,0,1,0,30,1,30.0,4.8,3.6,0.3,0.32,53.4,5.4,-0.2,4.41,4.82,-0.13
하영민,Hero,5,3,0,2,0,41,0,39.1,5.26,4.81,0.92,0.246,57.5,3.43,-0.17,5.1,5.25,-0.14
김지용,두산,1,0,0,0,1,18,0,19.1,6.05,2.33,2.33,0.241,61.1,6.05,-0.02,6.29,6.36,-0.14
박동수,NC,0,0,0,0,0,10,0,14.2,9.2,12.89,0.0,0.297,69.7,5.52,-0.01,5.8,6.08,-0.14
이정현,KT,0,0,0,0,0,3,0,3.2,2.45,9.82,2.45,0.182,106.1,2.45,0.09,10.43,11.41,-0.14
이수민,삼성,0,0,0,0,0,4,0,4.2,3.86,9.64,1.93,0.143,78.9,5.79,-0.06,9.13,9.9,-0.15
주승우,Hero,0,0,0,0,0,4,1,3.1,10.8,18.9,2.7,0.4,66.0,10.8,-0.09,11.14,11.51,-0.15
김상수,SSG,0,0,1,0,0,8,0,8.0,3.38,4.5,2.25,0.269,53.6,9.0,-0.14,7.72,8.19,-0.16
신정락,한화,2,1,1,4,0,44,0,47.0,4.4,3.06,0.77,0.293,72.0,4.02,0.27,4.81,5.13,-0.16
김승현,삼성,0,1,0,2,0,6,0,4.0,11.25,9.0,4.5,0.308,41.7,11.25,-0.24,10.34,10.26,-0.17
이건욱,SSG,0,1,0,0,0,1,1,3.0,6.0,12.0,3.0,0.143,65.2,9.0,-0.09,10.34,10.78,-0.17
문용익,삼성,1,2,1,2,0,39,0,37.2,5.5,5.26,0.48,0.259,67.0,3.35,0.37,4.72,4.95,-0.17
허준혁,LG,0,0,0,0,0,6,0,4.2,7.71,3.86,5.79,0.444,79.5,9.64,-0.21,11.27,11.25,-0.18
조민석,NC,0,1,0,0,0,18,0,16.0,7.88,6.75,1.12,0.341,78.0,4.5,0.04,5.84,6.05,-0.18
박승주,Hero,1,0,0,0,0,27,0,25.0,7.92,7.56,1.08,0.258,80.4,4.32,0.41,6.02,6.25,-0.21
김건우,SSG,0,0,0,0,0,2,1,3.0,3.0,12.0,3.0,0.364,78.9,9.0,-0.12,11.01,11.68,-0.21
윤중현,KIA,3,1,0,5,1,47,0,53.2,4.53,2.35,0.67,0.321,65.4,5.03,-0.0,4.37,4.59,-0.21
김동주,두산,0,0,0,0,0,10,0,16.2,7.02,4.86,2.7,0.31,72.0,7.56,-0.28,7.3,7.34,-0.21
김정빈,KIA,3,0,0,2,1,31,0,27.0,7.67,8.0,0.67,0.296,62.2,7.0,-0.18,5.71,6.02,-0.23
백정현,삼성,4,13,0,0,0,24,24,124.2,5.05,2.67,1.59,0.314,73.3,5.27,1.29,5.6,5.77,-0.24
이용준,NC,0,1,0,0,0,10,2,22.0,7.77,5.32,1.64,0.377,59.9,8.59,-0.68,6.16,6.33,-0.25
남지민,한화,2,11,0,0,0,22,20,89.0,4.15,4.55,0.91,0.313,61.6,6.37,-0.08,5.35,5.63,-0.25
