ymonth,nation,itemNm,imXprt,weight,dollar
202001,남아프리카,게 조제품,수출,77.6,1839.0
202001,카나다,게 조제품,수출,240.0,1723.0
202001,러시아,게 조제품,수출,8420.0,26508.0
202001,태국,게 조제품,수입,2.35,6.0
202001,베트남,게 조제품,수입,4751.4,36049.0
202001,일본,게 조제품,수출,1031.991,4817.0
202001,일본,게 조제품,수입,0.99,13.0
202001,미국,게 조제품,수출,920.0,5157.0
202001,중국,게 조제품,수출,777.6,18749.0
202001,중국,게 조제품,수입,2.0,47.0
202001,미얀마,새우류,수입,13916.0,79571.0
202001,태국,새우류,수입,122657.1,1084334.0
202001,인디아,새우류,수입,13.62,136.0
202001,베트남,새우류,수입,1015872.41,6408128.0
202001,미국,새우류,수출,6336.0,41186.0
202001,중국,새우류,수입,6900.0,26562.0
202001,북마나리아나군도,새우류,수출,64.0,979.0
202001,카나다,해파리,수출,217.92,1166.0
202001,태국,해파리,수입,167300.0,454194.0
202001,베트남,해파리,수입,16000.0,35628.0
202001,미국,해파리,수출,1968.96,10089.0
202001,호주,해파리,수출,367.2,2908.0
202001,중국,해파리,수입,105350.0,414960.0
202001,튀니지,뱀장어,수입,15655.0,198640.0
202001,터키,뱀장어,수입,8964.0,101912.0
202001,뉴질랜드,뱀장어,수입,642.0,8324.0
202001,이집트,뱀장어,수입,2110.0,29345.0
202001,호주,뱀장어,수입,1400.0,23424.0
202001,모로코,뱀장어,수입,22259.0,310934.0
202001,중국,뱀장어,수입,40985.0,582391.0
202001,프랑스,캐비아,수입,9.66,12375.0
202001,홍콩,캐비아,수입,25.8,18392.0
202001,러시아,캐비아,수입,7.842,2279.0
202001,미국,캐비아,수입,1.33,45.0
202001,중국,캐비아,수입,9.99,7893.0
202001,필리핀,새끼뱀장어,수입,1006.6,151910.0
202001,홍콩,실뱀장어,수입,2351.0,48088213.0
202001,필리핀,실뱀장어,수입,297.0,228507.0
202001,중국,실뱀장어,수입,132.75,2495185.0
202001,말레이시아,실뱀장어,수입,70.0,71960.0
202001,카나다,대서양 연어,수입,4308.79,58938.0
202001,노르웨이,대서양 연어,수입,1864786.48,23641277.0
202001,영국,대서양 연어,수입,7764.03,94970.0
202001,북마나리아나군도,대서양 연어,수출,1101.19,26075.0
202001,아이슬란드,대서양 연어,수입,10047.101,117477.0
202001,세이셜,넙치,수출,1783.0,6408.0
202001,이탈리아,대구,수출,107300.0,376985.0
202001,덴마아크,대구,수출,293624.0,1060855.0
202001,러시아,대구,수입,1954775.0,5712871.0
202001,인도네시아,대구,수출,278680.0,758456.0
