"month","nation","itemNm","imxprt","weight","dollar"
"202001","호주","기타","수출",3779.52,23721
"202001","중국","기타","수출",98052.3,231102
"202001","중국","기타","수입",6064657.17,22107086
"202001","칠레","기타","수입",956100,1962640
"202001","북마나리아나군도","기타","수출",30,670
"202001","베트남","갑오징어","수입",100720,3372629
"202001","괌","갑오징어","수출",16,616
"202001","미국","갑오징어","수출",2935.75,44554
"202001","대만","기타","수출",180,1213
"202001","베트남","기타","수입",8,75
"202001","미국","기타","수출",735.3,23067
"202001","호주","기타","수출",36,1875
"202001","중국","기타","수출",617.763,1876
"202001","중국","기타","수입",23420.976,404355
"202001","말레이시아","기타","수출",70.4,634
"202001","태국","염장이나 염수장한 것","수입",720,5029
"202001","태국","기타","수출",99058,67141
"202001","터키","기타","수입",374.2,3681
"202001","카나다","태평양 연어","수입",380.8,10136
"202001","미국","태평양 연어","수입",25312,87038
"202001","중국","태평양 연어","수입",18000,71525
"202001","노르웨이","태평양 연어","수입",8280.7,138209
"202001","칠레","태평양 연어","수입",38018,456093
"202001","독일","태평양 연어","수입",13.2,413
"202001","네덜란드","태평양 연어","수입",14.49,113
"202001","뉴질랜드","태평양 연어","수입",6000,194100
"202001","폴란드","태평양 연어","수입",240,4746
"202001","노르웨이","태평양 연어","수입",15136.85,363582
"202001","영국","태평양 연어","수입",14.66,73
"202001","북마나리아나군도","태평양 연어","수출",1000,17432
"202001","태국","염장이나 염수장한 것","수입",5167.2,16647
"202001","노르웨이","훈제한 것","수입",0.085,12
"202001","도미니카공화국","건조한 것","수출",16.95,460
"202001","나이지리아","건조한 것","수출",50,727
"202001","인디아","건조한 것","수입",0.4,15
"202001","뉴질랜드","건조한 것","수출",21.3,491
"202001","호주","건조한 것","수출",79.1,1941
"202001","중국","건조한 것","수입",178210,1311216
"202001","쿠웨이트","건조한 것","수출",11.87,244
"202001","미얀마","염장이나 염수장한 것","수입",20160,11088
"202001","도미니카공화국","염장이나 염수장한 것","수출",240,1967
"202001","대만","염장이나 염수장한 것","수출",800,4934
"202001","카나다","염장이나 염수장한 것","수출",13121.35,54402
"202001","태국","염장이나 염수장한 것","수입",1555.2,5512
"202001","인도네시아","염장이나 염수장한 것","수입",23800,15859
"202001","베트남","염장이나 염수장한 것","수입",384940,341955
"202001","괌","염장이나 염수장한 것","수출",60,265
"202001","뉴질랜드","염장이나 염수장한 것","수출",60,431
"202001","미국","염장이나 염수장한 것","수출",6688,47563
"202001","중국","염장이나 염수장한 것","수입",252883,290097
"202001","마카오","염장이나 염수장한 것","수출",100,1114
"202001","북마나리아나군도","염장이나 염수장한 것","수출",240,1913
"202001","중국","건조한 것","수출",24200,59878
"202001","칠레","건조한 것","수입",24200,58100
"202001","태국","염장이나 염수장한 것","수입",4224,16782
"202001","베트남","염장이나 염수장한 것","수입",720,5635
