선수명,팀명,경기,타석,타수,안타,홈런,득점,타점,볼넷,삼진,도루,BABIP,타율,출루율,장타율,OPS,wOBA,WAR
김인태,두산,133,418,344,89,8,51,46,62,68,0,0.298,0.259,0.373,0.378,0.751,0.354,1.58
이재원,SSG,107,313,271,76,3,29,30,29,47,0,0.327,0.28,0.358,0.362,0.72,0.332,1.53
이명기,NC,56,232,191,56,2,30,14,37,27,6,0.333,0.293,0.41,0.387,0.797,0.38,1.51
박석민,NC,59,205,171,44,10,27,41,27,43,0,0.283,0.257,0.361,0.48,0.841,0.375,1.48
권희동,NC,55,171,133,35,8,25,26,29,24,2,0.26,0.263,0.406,0.466,0.872,0.397,1.46
서건창,Hero,76,333,278,72,4,45,28,45,44,6,0.292,0.259,0.37,0.353,0.723,0.343,1.42
심우준,KT,139,460,407,109,6,61,48,32,65,16,0.301,0.268,0.323,0.371,0.694,0.317,1.41
김병희,KT,34,70,52,15,5,16,13,13,15,3,0.313,0.288,0.456,0.635,1.091,0.477,1.31
송우현,Hero,69,282,250,74,3,34,42,28,49,1,0.357,0.296,0.37,0.416,0.786,0.36,1.23
류지혁,KIA,92,327,273,76,2,37,34,42,46,0,0.325,0.278,0.385,0.33,0.715,0.345,1.17
허경민,두산,136,518,468,130,5,61,59,36,35,5,0.29,0.278,0.338,0.365,0.703,0.325,1.14
로맥,SSG,107,421,355,80,20,55,52,59,82,1,0.234,0.225,0.34,0.425,0.765,0.348,1.12
김민혁,KT,75,199,172,55,1,22,13,20,26,6,0.372,0.32,0.397,0.395,0.792,0.371,1.06
지시완,롯데,73,187,166,40,7,23,26,14,54,0,0.314,0.241,0.319,0.422,0.741,0.335,1.05
안중열,롯데,58,157,125,29,3,19,16,27,25,0,0.265,0.232,0.37,0.344,0.714,0.345,1.04
이대호,롯데,114,465,420,120,19,39,81,34,49,0,0.282,0.286,0.342,0.448,0.79,0.35,1.02
김웅빈,Hero,97,279,232,56,6,24,35,34,73,1,0.323,0.241,0.357,0.384,0.741,0.344,1.02
조수행,두산,115,104,84,24,1,34,8,16,26,21,0.404,0.286,0.417,0.369,0.786,0.38,1.01
이원석,삼성,131,480,399,92,9,40,59,60,80,1,0.261,0.231,0.341,0.346,0.687,0.324,1.01
박찬호,KIA,131,483,418,103,1,51,59,54,73,9,0.294,0.246,0.331,0.313,0.644,0.307,0.92
박민우,NC,50,215,180,47,1,30,18,22,23,12,0.291,0.261,0.36,0.339,0.699,0.334,0.87
김강민,SSG,122,260,223,53,8,43,27,25,52,3,0.271,0.238,0.327,0.408,0.735,0.332,0.81
