"meanPrice","aptName","siggName","dongName","exclusiveArea","householdCnt","leaseCnt","dongCnt","floorAreaRate","parkingLotCnt"
20.547,"잠실주공5단지","송파구","잠실동",81.75,3930,0,30,138,2411
8.5625,"가락우성2차","송파구","가락동",59.97,162,0,2,397,165
6.9,"가락우성2차","송파구","가락동",46.81,162,0,2,397,165
13.34,"잠실(방이)한양3차","송파구","방이동",84.92,252,0,3,152,277
9.25,"현대백조","송파구","오금동",80.25,438,153,2,0,438
11.1725,"래미안솔베뉴","강동구","명일동",59.32,1900,156,13,299,2304
5.8,"강동다온채","강동구","성내동",84.73,19,0,1,195,25
5.61666666666667,"한신","강동구","천호동",82.08,224,0,2,240,84
6.15,"세종로대우","종로구","내수동",66.96,60,0,1,499,0
7.475,"베르체","용산구","청파동3가",105.03,14,0,1,242,20
31.8368307692308,"래미안첼리투스","용산구","이촌동",124.02,460,0,3,328,1249
25.53,"신동아","용산구","서빙고동",140.81,1326,0,15,196,1517
8.33333333333333,"신동아","성동구","행당동",114.96,636,0,9,258,502
12.8828571428571,"래미안하이리버","성동구","금호동2가",84.98,847,0,10,248,1027
8.35,"금호베스트빌","성동구","송정동",118.266,60,0,1,299,89
2.984,"중곡","광진구","중곡동",48.46,270,0,6,0,100
8.462,"구의삼성쉐르빌","광진구","구의동",84.94,252,0,1,795,541
23.42,"워커힐","광진구","광장동",226.45,576,0,14,0,0
9.09333333333333,"광진동양파라곤1단지","광진구","군자동",127.56,79,0,2,399,175
8.15,"답십리대우","동대문구","답십리동",84.99,319,0,4,301,397
12.4592142857143,"래미안미드카운티","동대문구","답십리동",84.99,1009,172,12,251,1196
6.8,"현대","동대문구","장안동",95.45,456,0,8,184,346
4.14,"공감대6차","동대문구","장안동",82.47,36,0,1,476,70
6.6325,"주공1단지","동대문구","휘경동",84.8,1224,0,13,257,2513
6.6325,"주공2단지","동대문구","휘경동",84.8,800,0,7,0,1200
1.89,"현대휴온(도시형)","중랑구","면목동",29.6,149,0,1,200,78
3.05,"매원","중랑구","상봉동",58,11,0,1,219,10
7.3925,"금호어울림","중랑구","묵동",101.97,193,0,2,272,250
7,"데시앙","중랑구","신내동",84.3,1326,967,15,178,1525
10.7685,"보문파크뷰자이","성북구","보문동6가",84.99,1186,208,17,237,1293
6.28714285714286,"길음뉴타운2단지푸르지오","성북구","길음동",59.77,1634,0,28,254,2088
7.334,"종암SK뷰2차","성북구","종암동",59.98,393,68,6,244,454
5.85794117647059,"종암SK","성북구","종암동",59.04,1318,0,6,369,1691
10.4858333333333,"꿈의숲코오롱하늘채","성북구","장위동",84.87,513,92,5,280,587
2.15,"효성네오인텔리안","강북구","번동",41.15,121,0,1,762,260
6.78285714285714,"수유래미안","강북구","수유동",114.78,690,180,7,241,753
3.99,"신동아4단지","도봉구","방학동",84.9,361,0,3,290,282
4.1,"효성하이타운","도봉구","방학동",84.86,122,0,1,283,138
5.96333333333333,"창동주공3단지","도봉구","창동",71.89,2856,0,32,175,1516
6.78454545454545,"동아에코빌","도봉구","도봉동",105.976,526,0,7,334,721
5.08909090909091,"월계흥화브라운빌","노원구","월계동",84.91,233,0,4,273,252
5.07916666666667,"공릉두산힐스빌","노원구","공릉동",59.76,579,0,8,310,659
5.36727272727273,"상계주공14단지","노원구","상계동",59.39,2265,0,26,147,676
2.71775,"은빛1단지","노원구","상계동",39.7,1391,0,10,246,781
8.895,"래미안베라힐즈","은평구","녹번동",59.99,1305,258,20,236,1407
5.4,"신현","은평구","신사동",79.98,19,0,1,292,24
4.15,"이노럭스빌","은평구","증산동",82.58,24,0,2,299,24
4.4,"자선메르시안(164-17)","은평구","증산동",90.32,20,0,1,273,23
7.81333333333333,"은평뉴타운우물골7단지","은평구","진관동",84.43,472,0,22,136,855
4.95,"태영으뜸","서대문구","홍제동",85.29,214,0,1,390,201
2.28,"홍연(1~12)","서대문구","연희동",44.36,191,0,13,274,0
8.28,"DMC한양","서대문구","북가좌동",105.88,660,0,6,223,0
10.296,"대흥세양","마포구","대흥동",84.6,126,0,1,377,167
8,"동원월드타운","마포구","중동",118.085,102,0,2,289,129
13.5933333333333,"목동e-편한세상","양천구","목동",156.54,276,0,8,238,546
4.53285714285714,"신월길훈엔트런스빌","양천구","신월동",84.96,132,0,2,246,138
2.085,"한백이(915-6)","강서구","화곡동",57.06,18,0,1,299,15
1.58,"신원센스빌","강서구","화곡동",40.21,13,0,1,316,8
3.84,"크로스캐슬","강서구","화곡동",79.92,42,0,1,524,47
1.85,"남촌","강서구","화곡동",56.85,9,0,1,315,5
8.60833333333333,"마곡수명산파크2단지","강서구","내발산동",84.82,629,272,9,228,710
5.57666666666667,"대림역대성스카이렉스","구로구","구로동",84.8,160,0,2,746,225
5.5,"우리유앤미","구로구","구로동",84.54,216,0,2,297,223
8.41333333333333,"LG신도림자이","구로구","구로동",84.957,299,0,3,782,342
7.593,"구로주공1차","구로구","구로동",73.08,1400,0,13,153,1400
7.5,"다원그린빌","구로구","구로동",114.84,19,0,1,269,44
4.37125,"청솔우성","구로구","고척동",59.27,118,0,2,389,144
3.42,"양우","구로구","고척동",65.52,165,0,1,336,169
5.40454545454545,"서울가든","구로구","고척동",64.39,715,0,5,231,500
5.3,"백운한비치Ⅱ","금천구","시흥동",84.979,112,9,2,226,116
4.53333333333333,"백운한비치","금천구","시흥동",78.1642,114,0,1,301,122
5.65,"창방","영등포구","영등포동1가",84.5,60,0,1,0,80
5.4,"당산계룡리슈빌1단지(도시형)","영등포구","당산동3가",40.154,146,0,2,249,146
8.7,"브라운스톤당산","영등포구","당산동4가",84.025,162,0,3,244,185
6.2925,"현대2차","영등포구","문래동6가",59.85,390,0,2,251,390
