"선수명","팀명","경기","타석","타수","안타","홈런","득점","타점","볼넷","삼진","도루","BABIP","타율","출루율","장타율","OPS","wOBA","WAR"
"이성우","LG",55,74,64,10,0,2,6,4,11,0,0.189,0.156,0.239,0.203,0.442,0.218,-0.32
"정보근","롯데",15,35,32,4,0,3,1,2,10,0,0.182,0.125,0.2,0.125,0.325,0.17,-0.32
"정주현","LG",129,425,376,87,2,53,27,31,91,14,0.299,0.231,0.291,0.309,0.6,0.278,-0.37
"안중열","롯데",73,145,136,26,2,10,4,6,40,0,0.255,0.191,0.236,0.294,0.53,0.242,-0.37
"배정대","KT",66,84,74,15,0,15,6,7,23,0,0.294,0.203,0.28,0.257,0.537,0.257,-0.39
"김진형","NC",11,23,20,3,0,2,2,0,4,0,0.167,0.15,0.136,0.2,0.336,0.139,-0.39
"정상호","LG",22,24,24,2,0,1,2,0,11,0,0.154,0.083,0.083,0.125,0.208,0.089,-0.4
"박준태","KIA",38,47,41,7,0,13,4,4,15,1,0.25,0.171,0.234,0.244,0.478,0.221,-0.41
"유장혁","한화",38,61,55,9,1,10,4,5,17,3,0.211,0.164,0.23,0.236,0.466,0.22,-0.41
"정현","SK",23,34,28,2,0,3,1,5,14,1,0.133,0.071,0.206,0.071,0.277,0.166,-0.41
"김인환","한화",18,46,42,9,0,1,2,2,9,0,0.257,0.214,0.239,0.238,0.477,0.219,-0.42
"백동훈","두산",41,52,47,8,0,8,2,4,16,0,0.258,0.17,0.25,0.213,0.463,0.226,-0.42
"정진호","두산",66,110,96,20,1,13,3,11,24,5,0.268,0.208,0.29,0.24,0.53,0.259,-0.44
"이해창","KT",30,43,40,5,0,0,0,2,11,0,0.172,0.125,0.186,0.125,0.311,0.16,-0.44
