"date","aptName","dong","household","floorAreaRate","numParkinglot","exclusiveArea","floor","price"
2020-06-02,"한보미도맨션1,2차","대치동",2436,179,2906,161.36,3,31.5
2020-06-02,"동부센트레빌","대치동",805,297,1824,145.83,7,35
2020-06-02,"한보미도맨션1,2차","대치동",2436,179,2906,126.33,4,27.5
2020-06-02,"한양4차","압구정동",286,187,143,101.09,3,21.5
2020-06-02,"신현대(현대9,11,12차)","압구정동",1924,0,2800,152.28,2,34.8
2020-06-02,"현대8차","압구정동",515,173,0,107.64,7,23.8
2020-06-02,"현대6,7차","압구정동",1288,210,1120,144.2,1,32.6
2020-06-02,"현대65동(대림아크로빌)","압구정동",56,240,89,144.2,1,32.6
2020-06-02,"강남LH1단지(e편한세상)","세곡동",809,173,998,59.89,11,11.2
2020-06-02,"강남LH1단지(e편한세상)","세곡동",809,173,998,74.74,13,12.4
2020-06-02,"강남LH1단지(e편한세상)","세곡동",809,173,998,59.99,15,10.4
2020-06-02,"샘터마을","일원동",628,249,950,101.97,3,17.2
2020-06-02,"푸른마을","일원동",930,249,930,59.76,2,11.7
2020-06-02,"까치마을","수서동",1404,208,1410,39.6,7,8.65
2020-06-02,"삼익","수서동",645,224,650,60,10,11.75
2020-06-02,"도곡렉슬","도곡동",3002,274,4443,120.8233,6,26
2020-06-03,"역삼래미안","역삼동",1050,276,1066,59.53,12,15.5
2020-06-03,"역삼IPARK","역삼동",541,273,914,28.246,11,7.9
2020-06-03,"대청","개포동",822,0,700,33.18,3,8.9
2020-06-03,"대치2단지","개포동",1758,174,1758,33.18,3,8.9
2020-06-03,"대청","개포동",822,0,700,39.53,5,10.1
2020-06-03,"대치2단지","개포동",1758,174,1758,39.53,5,10.1
2020-06-03,"홍실","삼성동",384,172,420,94.26,9,25.7
2020-06-03,"아이파크삼성","삼성동",449,296,1253,145.046,36,40
2020-06-03,"한보미도맨션1,2차","대치동",2436,179,2906,161.36,14,34.2
2020-06-03,"대치아이파크","대치동",768,274,1171,119.58,21,30.1
2020-06-03,"대치아이파크","대치동",768,274,1171,59.96,18,18.7
2020-06-03,"한보미도맨션1,2차","대치동",2436,179,2906,84.96,9,22.3
2020-06-03,"현대8차","압구정동",515,173,0,107.64,11,23
2020-06-03,"세곡푸르지오","세곡동",912,174,1148,59.89,15,10.95
2020-06-03,"까치마을","수서동",1404,208,1410,39.6,11,8.7
2020-06-03,"수서한아름","수서동",498,249,996,97.63,3,14.3
2020-06-03,"수서한아름","수서동",498,249,996,129.45,2,15.7
2020-06-03,"까치마을","수서동",1404,208,1410,39.6,5,8.68
2020-06-03,"타워팰리스1차","도곡동",1297,919,3695,164.97,19,31.2
2020-06-03,"도곡렉슬","도곡동",3002,274,4443,114.9931,1,27.9
2020-06-03,"도곡렉슬","도곡동",3002,274,4443,119.8906,19,26.3
2020-06-03,"도곡렉슬","도곡동",3002,274,4443,84.9984,16,23.4
2020-06-04,"강남웅진베어스빌(도시형)","역삼동",25,799,12,18.61,14,4.012
2020-06-04,"개포주공5단지","개포동",940,151,912,74.25,8,18.9
2020-06-04,"래미안블레스티지","개포동",1957,249,3153,84.94,8,24.3
2020-06-04,"한솔","삼성동",263,0,263,85,5,16
2020-06-04,"삼성한일","삼성동",127,285,137,55.34,6,12.58
2020-06-04,"대치삼성1차","대치동",960,261,1259,108.52,8,24
2020-06-04,"대치롯데캐슬리베","대치동",144,299,270,121.0894,6,26.2
2020-06-04,"테헤란로대우아이빌","대치동",371,1096,180,59.83,12,7.53
2020-06-04,"대치우성1차","대치동",476,179,498,115.59,13,23.5
2020-06-04,"미성2차","압구정동",911,0,1093,74.4,10,19.675
2020-06-04,"현대1,2차","압구정동",960,224,720,131.48,11,30.5
2020-06-04,"삼성","수서동",680,211,1020,84.97,8,16
2020-06-05,"역삼래미안","역삼동",1050,276,1066,80.87,3,19.65
2020-06-05,"쌍용플래티넘밸류","역삼동",166,640,166,84.96,6,11.45
