"","선수명","팀명","경기","타석","타수","안타","홈런","득점","타점","볼넷","삼진","도루","BABIP","타율","출루율","장타율","OPS","wOBA","WAR"
"198","이도윤","한화",14,25,24,5,0,3,1,1,6,0,0.278,0.208,0.24,0.25,0.49,0.227,-0.18
"199","노수광","SK",29,83,75,20,1,13,5,7,16,2,0.328,0.267,0.329,0.387,0.716,0.323,-0.19
"200","신본기","롯데",81,123,106,23,2,18,12,14,22,1,0.253,0.217,0.311,0.283,0.594,0.282,-0.19
"201","김준완","NC",45,75,65,14,1,8,5,10,9,0,0.236,0.215,0.32,0.277,0.597,0.287,-0.19
"202","최재원","LG",6,6,6,0,0,0,0,0,4,0,0,0,0,0,0,0,-0.19
"203","김민수","삼성",17,26,23,4,0,3,1,2,6,0,0.235,0.174,0.24,0.174,0.414,0.205,-0.2
"204","조한민","한화",25,52,50,11,0,7,2,0,22,0,0.393,0.22,0.25,0.3,0.55,0.252,-0.21
"205","지석훈","NC",87,142,121,25,1,22,12,15,33,1,0.27,0.207,0.3,0.298,0.598,0.282,-0.21
"206","김창평","SK",35,90,78,15,0,10,7,11,16,7,0.238,0.192,0.289,0.269,0.558,0.267,-0.21
"207","김민준","SK",12,5,4,0,0,4,0,0,1,1,0,0,0,0,0,0,-0.21
"208","김영환","KIA",4,8,7,0,0,0,0,1,2,1,0,0,0.125,0,0.125,0.093,-0.21
"209","박한결","한화",13,24,20,3,0,5,1,2,8,0,0.25,0.15,0.227,0.15,0.377,0.191,-0.24
"210","안권수","두산",68,41,37,10,0,10,3,2,5,2,0.303,0.27,0.3,0.27,0.57,0.264,-0.25
"211","김호은","LG",69,112,103,25,2,12,11,7,14,0,0.264,0.243,0.304,0.35,0.654,0.298,-0.25
"212","박상언","한화",38,47,46,10,0,4,2,0,16,0,0.333,0.217,0.234,0.283,0.517,0.234,-0.25
"213","주효상","키움",63,101,84,16,0,6,7,13,26,0,0.271,0.19,0.296,0.238,0.534,0.263,-0.25
"214","정기훈","한화",29,36,31,5,0,9,2,3,15,0,0.313,0.161,0.278,0.226,0.504,0.253,-0.25
"215","서호철","NC",2,8,8,0,0,0,0,0,2,0,0,0,0,0,0,0,-0.25
